courseNo,abbrName,genEdType,studyProgram,academicYear,semester,sections
0294456,DESIGNING LIFE,SO,S,2564,1,1
2403183,SOCIETY & CULTURE,SO,S,2564,1,1
2403185,JUV DEL,SO,S,2564,1,1
2601111,BUS ACCTG,SO,S,2564,1,1
2602121,INTRO BUSINESS,SO,S,2564,1,1-2
2603244,GEN PRIN INSURANCE,SO,S,2564,1,1
2604362,PERSONAL FINANCE,SO,S,2564,1,1
2605311,PRIN MKTG,SO,S,2564,1,7-8
2722221,TH CULT GLOB,SO,S,2564,1,1
2746292,EDU SUS DEV,SO,S,2564,1,5-8
2800212,HUMAN COMM,SO,S,2564,1,2
2801321,NEWS INFO/SOC,SO,S,2564,1,1
2900151,FOUNDATION ECON,SO,S,2564,1,2
2900152,INTRO THAI ECON,SO,S,2564,1,1
3401102,TAX LAW DLY LIFE,SO,S,2564,1,1-2
3401124,INTRO IP LAW,SO,S,2564,1,1
3402103,INTRO CRIM LAW,SO,S,2564,1,1
3404115,INTRO PUBLIC LAW,SO,S,2564,1,1
3404117,INTRO TO LAW,SO,S,2564,1,"4,7"
3404131,FREE ASM LAW,SO,S,2564,1,1
3405102,INTRO INTL LAW,SO,S,2564,1,1
3494101,LAW HUM RES MGT,SO,S,2564,1,1
3800101,GENERAL PSYCHOLOGY,SO,S,2564,1,6-7
3800202,PSY LIFE WORK,SO,S,2564,1,1
3800250,HUMAN RELATIONS,SO,S,2564,1,1-3
4000208,INTRO AGR ECON,SO,S,2564,1,1
4000209,INTRO AGR RES MGT,SO,S,2564,1,1
5100101,POP/DEV,SO,S,2564,1,1-3
0123101,PARAGRAPH WRITING,HU,S,2564,1,10-27
0123104,UNIV THAI READING,HU,S,2564,1,1-6
0123105,THAI WRIT WORK,HU,S,2564,1,1
0201211,MEDITAT LIFE DEV,HU,S,2564,1,2
0201212,SP ETHICS,HU,S,2564,1,1
0296110,HU ECO GLOBAL,HU,S,2564,1,2
0296112,LIFE SKILLS,HU,S,2564,1,1
2200185,SURV ART ARCH THAI,HU,S,2564,1,2
2200330,TIPITAKA/LIFE,HU,S,2564,1,1
2200391,CONT ART TH SEA,HU,S,2564,1,1
2200393,LANG/CULT ART,HU,S,2564,1,2
2204365,ART HIST THAILAND,HU,S,2564,1,1
2207103,PHILOS LOGIC,HU,S,2564,1,1
2207201,HIST WEST PHILOS,HU,S,2564,1,2
2207363,ETHICS,HU,S,2564,1,2
2207371,PHILOS LITERATURE,HU,S,2564,1,1
2209373,LANG CULTURE,HU,S,2564,1,2
2210214,LIT/ENVIRON,HU,S,2564,1,2
2210239,LIT/DISABILITY,HU,S,2564,1,2
2210313,HUMOUR LIT,HU,S,2564,1,1
2210315,LIT/ETHN IDENTITY,HU,S,2564,1,1
2221390,IND CULT TH SOC,HU,S,2564,1,1
2221433,BUDDHIST TEACHING,HU,S,2564,1,1-2
2221485,BUDDHIST CIV,HU,S,2564,1,1
2223243,JAPAN TODAY,HU,S,2564,1,1
2296352,21C BUDDHISTS,HU,S,2564,1,1
2501296,THAI ARCH HERITAGE,HU,S,2564,1,1
2722288,DHAMMA/SELF,HU,S,2564,1,1
2736106,ART APPRECIATION,HU,S,2564,1,1
2737110,MUS APPRECIATION,HU,S,2564,1,1
2796200,ART FOR LIFE QUAL,HU,S,2564,1,6
3501120,HIST WEST ART I,HU,S,2564,1,3
3501214,THAI ARTS l,HU,S,2564,1,2
3503101,CL MUS SCRN,HU,S,2564,1,1
3503111,INTRO CLASSIC MUS,HU,S,2564,1,1
0201287,MAP APPLN,SC,S,2564,1,1
0298112,GEN PRIN HAL PROD,SC,S,2564,1,2
0298114,INTR CLIN SEX,SC,S,2564,1,1
2107219,URBAN ENVIRONMENTS,SC,S,2564,1,1
2107220,ENV DAILY LIFE,SC,S,2564,1,1
2110191,INNOV THINK,SC,S,2564,1,1-2
2111201,GEN RAD NUCLEAR,SC,S,2564,1,2
2111330,MOD MAT PROP RAD,SC,S,2564,1,1
2112210,WATER/SOC,SC,S,2564,1,1
2300150,NATURAL SCIENCE,SC,S,2564,1,1
2300200,SCI TECH SOC,SC,S,2564,1,1
2305107,PLANT WORLD,SC,S,2564,1,2-6
2305108,BIOTECH DAILY LIFE,SC,S,2564,1,1
2305109,PL GROW TECH,SC,S,2564,1,1
2305120,THAI NAT REFOR,SC,S,2564,1,1
2305151,ORGANIC GARDENING,SC,S,2564,1,1
2305161,GENETICS FOR LIFE,SC,S,2564,1,1
2307205,INTRO GEM SCI,SC,S,2564,1,1
2307206,EARTH SCIENCES,SC,S,2564,1,2
2308303,HISTORY OF SCI,SC,S,2564,1,1
2308354,STRATEGY OF LIFE,SC,S,2564,1,1-4
2309201,GEN OCEANOLOGY,SC,S,2564,1,1
2310201,HEALTH/BEAUTY,SC,S,2564,1,1
2312100,MICROB FRIEND FOE,SC,S,2564,1,1
2313213,DIGITAL PHOTO,SC,S,2564,1,1
2313221,PHOTO SCI,SC,S,2564,1,1-2
2313226,PRINT MEDIA TECH,SC,S,2565,1,1
2314255,ELEMENT FOOD TECH,SC,S,2564,1,1
2398131,PHYS FILMS,SC,S,2564,1,1
3098101,DRUG DAILY LIFE,SC,S,2564,1,1
3101101,COMP APP PROF,SC,S,2564,1,1-2
3102114,ANL BEHAVIOR,SC,S,2564,1,1
3107302,BIOSTATISTICS,SC,S,2564,1,1-2
3200106,FUND ORAL BIO HLTH,SC,S,2564,1,1-2
3200109,CALCIUM HLTH,SC,S,2564,1,1-2
3200601,HLTH ORG ADMIN,SC,S,2564,1,1
3306101,USEFUL PLANTS,SC,S,2564,1,1
3307101,BASIC AROMATHERAPY,SC,S,2564,1,1
3600204,HLTH SEXUALITY,SC,S,2564,1,1
3600205,FAM HLTH CARE,SC,S,2564,1,1-2
3600207,HLTH LIVING,SC,S,2564,1,1
3600301,NUTRI HLTH,SC,S,2564,1,1
3600302,WELLNESS SOCIETY,SC,S,2564,1,1
3600303,DIS SURV EMER CARE,SC,S,2565,1,1
3600304,NEW GEN PAREN,SC,S,2564,1,1
3640203,MTRNL CHILD HEALTH,SC,S,2564,1,1
3700104,INT HC NEW GEN,SC,S,2564,1,1
3700108,HLTH PREV INFC DIS,SC,S,2564,1,1
3700109,IMMUNITY OF LIFE,SC,S,2564,1,1
3700110,GOOD HEALTH,SC,S,2564,1,1
3705102,RADIA DAILY LIFE,SC,S,2564,1,1
3741208,LIFE LEARN SKILL,SC,S,2564,1,1
3741329,PATIENT SAFETY,SC,S,2564,1,1
3741426,START UP BUSIN MT,SC,S,2564,1,1
3742100,PHY THR DAILY LIFE,SC,S,2564,1,1-4
3742102,EXERCISE THERAPY,SC,S,2564,1,1
3742107,LIFE KNOWLEDGE,SC,S,2564,1,1-2
3900200,EX/SP HLTH,SC,S,2564,1,1
3900202,FUNC EX,SC,S,2564,1,1
3900203,TREK MTNG EX,SC,S,2564,1,1-3
0201106,ART SCI FIND HAP,IN,S,2564,1,1
0201107,LRN STUD ACT,IN,S,2564,1,1-2
0201108,FAMILY RELATIONS,IN,S,2564,1,2
0201110,SICHANG STUDY,IN,S,2564,1,1
0201121,LIFE REFL FILM,IN,S,2564,1,1-2
0201122,MGT PUB DISASTER,IN,S,2564,1,1
0201151,OUR ENVIRONMENT,IN,S,2564,1,1
0201153,WASTE MANAGEMENT,IN,S,2564,1,1
0201201,IDEAL GRADUATE I,IN,S,2564,1,2
0201203,IDEAL GRADUATE III,IN,S,2564,1,1
0201204,IDEAL GRADUATE IV,IN,S,2564,1,1
0201210,MAT MGT GREEN,IN,S,2564,1,1
0201232,MULTI STUD RUR DEV,IN,S,2564,1,1
0201251,P2 CONTROL,IN,S,2564,1,1
0201252,ALT ENGY CONS,IN,S,2564,1,1
0201254,GLOB WARM ADAPT,IN,S,2564,1,1
0201255,ICT STRATEGIC MGT,IN,S,2564,1,1
0201270,NAT SECURITY DEV,IN,S,2564,1,1
0201283,BEAUTIFUL DEATH,IN,S,2564,1,1
0201285,ECON SOC PLANT,IN,S,2564,1,1
0201286,LIFE DESIGN,IN,S,2564,1,1
0295100,EXPL BME WORLD,IN,S,2564,1,1
0295103,LRNG LIFE,IN,S,2564,1,1
0295106,WELL LIFE EXT,IN,S,2564,1,1
0295109,INNO SRD,IN,S,2564,1,1
0295110,WINE EDUCATION,IN,S,2564,1,1
2104181,HF ERGO DAILY LIFE,IN,S,2564,1,1
2305100,NATIONAL RESOURCES,IN,S,2564,1,1
2305106,PLANTS/HUMANITY,IN,S,2564,1,1
2502390,INTRO PACK DESIGN,IN,S,2564,1,1-2
2504101,LA APPRECIATION,IN,S,2564,1,1
2750178,LLL,IN,S,2564,1,1
3305101,FOOD FOR HEALTH,IN,S,2564,1,1
3600305,EMPWRG TEENS,IN,S,2564,1,1
3800252,LEADER PER DEV,IN,S,2564,1,1
3800309,PSY CONSERV NATURE,IN,S,2564,1,1
3900204,REC BUS TOUR,IN,S,2564,1,1
3914101,REC QUAL LIFE DEV,IN,S,2564,1,1
4000101,AGR PROD DEV CONS,IN,S,2564,1,1
0201171,EFFECT CAREER MGT,SO,I,2564,1,1
0201172,SELF/CAREER MGT,SO,I,2564,1,1
2403183,SOCIETY & CULTURE,SO,I,2564,1,1-3
2403184,SOC DIVER JUS THAI,SO,I,2564,1,1
2403185,JUV DEL,SO,I,2564,1,3
2403284,CROSS-CULT MGT,SO,I,2564,1,1-2
2541160,CREAT URB LIVING,SO,I,2564,1,2
2605311,PRIN MKTG,SO,I,2564,1,"10-11,21,51-54"
2800211,THAI CULT/COMM,SO,I,2564,1,9-10
2800212,HUMAN COMM,SO,I,2564,1,10
2800218,VIS MED STUD,SO,I,2564,1,1
2800219,CROSS CULT COMM,SO,I,2564,1,1
2800221,INTL COMM ETI PRO,SO,I,2564,1,9
2800314,ART PUB SPKG,SO,I,2564,1,9
2900151,FOUNDATION ECON,SO,I,2564,1,1
3404117,INTRO TO LAW,SO,I,2564,1,1
3800105,INTRO PSY,SO,I,2564,1,1-4
3800202,PSY LIFE WORK,SO,I,2564,1,1-3
4000208,INTRO AGR ECON,SO,I,2564,1,2
5600160,IP DATA SECUR MGT,SO,I,2564,1,1
5600161,SE INNO,SO,I,2564,1,1
0201212,SP ETHICS,HU,I,2564,1,1
2200201,ACAD REPORT WRIT,HU,I,2564,1,1
2204180,CIVILIZATION,HU,I,2564,1,1-2
2207103,PHILOS LOGIC,HU,I,2564,1,1-3
2234482,INTRO ITAL CINEMA,HU,I,2564,1,1
2236103,RUS LANG CULT,HU,I,2564,1,1
2450110,UK 1900 PRE I,HU,I,2564,1,1
2450112,UK 1900 PRE III,HU,I,2564,1,1
2451207,AUS SOC PO,HU,I,2564,1,1
2502291,DESIGN EVERYDAY,HU,I,2564,1,1
2541151,SPARK CREAT,HU,I,2564,1,1
2541152,C/C PROB SOLV,HU,I,2564,1,2
2541155,VIS CULT,HU,I,2564,1,1
2541156,ARCH ENV FILM,HU,I,2564,1,1
2541162,POSTMOD PHOTO,HU,I,2564,1,1
2541168,DSGN ASIAN PERSP,HU,I,2564,1,1
2541169,HIST ANIMATION,HU,I,2564,1,1
2541176,JP DSGN CON,HU,I,2564,1,1
2542003,DSGN THNK INNV,HU,I,2564,1,2
3503101,CL MUS SCRN,HU,I,2564,1,1
3503111,INTRO CLASSIC MUS,HU,I,2564,1,1
0201287,MAP APPLN,SC,I,2564,1,1
2107220,ENV DAILY LIFE,SC,I,2564,1,1
2300152,SCIENCE TODAY,SC,I,2564,1,51-52
2302190,CHEM MOD LIFE,SC,I,2564,1,51
2303165,MAN & ENVIRONMENT,SC,I,2564,1,"2,51"
2305109,PL GROW TECH,SC,I,2564,1,51
2305151,ORGANIC GARDENING,SC,I,2564,1,51
2308303,HISTORY OF SCI,SC,I,2564,1,51
2311132,NEW TECH MAT SCI,SC,I,2564,1,51
2313213,DIGITAL PHOTO,SC,I,2564,1,51
2313226,PRINT MEDIA TECH,SC,I,2564,1,51-53
2314255,ELEMENT FOOD TECH,SC,I,2564,1,51-53
2952165,COMP APP ECON,SC,I,2564,1,1-2
3700104,INT HC NEW GEN,SC,I,2564,1,1
3900200,EX/SP HLTH,SC,I,2564,1,1
5600190,NUM METH INNO,SC,I,2564,1,1
0201107,LRN STUD ACT,IN,I,2564,1,1
0201123,CULT TRAD TH LIFE,IN,I,2564,1,1-3
0201125,MGT DIFF CULT,IN,I,2564,1,1
0201127,QUAL WORK MGT,IN,I,2564,1,1
0201151,OUR ENVIRONMENT,IN,I,2564,1,1-2
0201232,MULTI STUD RUR DEV,IN,I,2564,1,1
0201234,LOC GLOB ISS,IN,I,2564,1,1
0201251,P2 CONTROL,IN,I,2564,1,1
0295106,WELL LIFE EXT,IN,I,2564,1,1
3914101,REC QUAL LIFE DEV,IN,I,2564,1,1
4000101,AGR PROD DEV CONS,IN,I,2564,1,1
5695102,PROF COMM SKL INNO,IN,I,2564,1,1